,np,matrix,matrix_id,solver_id,prec_id,status_id,new_time,good_or_bad
26602,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,1,2,-1,inf,-1
26603,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,1,3,-1,inf,-1
26604,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,1,4,-1,inf,-1
26605,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,2,0,0,inf,-1
26606,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,2,1,0,inf,-1
26607,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,2,2,0,inf,-1
26608,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,2,3,0,inf,-1
26609,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,2,4,0,inf,-1
26610,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,3,0,-1,inf,-1
26611,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,3,1,-1,inf,-1
26612,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,3,2,-1,inf,-1
26613,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,3,3,-1,inf,-1
26614,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,3,4,-1,inf,-1
26615,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,4,0,-1,inf,-1
26616,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,4,1,-1,inf,-1
26617,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,4,2,-1,inf,-1
26618,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,4,3,-1,inf,-1
26619,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,4,4,-1,inf,-1
26620,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,5,0,-1,inf,-1
26621,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,5,1,-1,inf,-1
26622,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,5,2,-1,inf,-1
26623,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,5,3,0,inf,-1
26624,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,5,4,0,inf,-1
26625,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,6,0,-1,inf,-1
26626,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,6,1,-1,inf,-1
26627,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,6,2,-1,inf,-1
26628,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,6,3,0,inf,-1
26629,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,6,4,0,inf,-1
26630,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,7,0,0,inf,-1
26631,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,7,1,0,inf,-1
26632,2,TSOPF_RS_b162_c4.mtx,-2331652373568352280,7,2,0,inf,-1
